Tablica	Insertion Sort Porownania	Insertion Sort Przestawienia	Insertion Sort Czas	Insertion Sort c/n	Insertion Sort s/n	Merge Sort Porownania	Merge Sort Przestawienia	Merge Sort Czas	Merge Sort c/n	Czas	Merge Sort s/n	Quick Sort Porownania	Quick Sort Przestawienia	Quick Sort Czas	Quick Sort c/n	Czas	Quick Sort s/n	Dual-pivot Quick Sort Porownania	Dual-pivot Quick Sort Przestawienia	Dual-pivot Quick Sort Czas	Dual-pivot Quick Sort c/n	Dual-pivot Quick Sort s/n
7800	90990	202016	8.676	11	25	91890	25377	3.437	11	3	109817	64078	5.124	14	8
7900	92290	204816	8.749	11	25	73567	26373	2.956	9	3	112115	60267	5.08	14	7
8000	93644	207616	8.88	11	25	77020	26530	3.049	9	3	108636	67031	5.195	13	8
8100	94903	210416	9.079	11	25	72649	27145	3.153	8	3	117218	64246	5.407	14	7
8200	96247	213232	9.294	11	26	88904	26921	3.427	10	3	111070	67122	5.563	13	8
8300	97624	216232	9.818	11	26	89036	27523	3.563	10	3	114962	66424	5.45	13	8
8400	98869	219232	9.458	11	26	82634	27916	3.29	9	3	115428	68210	5.452	13	8
8500	100336	222232	9.647	11	26	87358	28091	3.433	10	3	127086	69702	5.845	14	8
8600	101502	225232	9.73	11	26	92655	28521	3.604	10	3	130690	76011	6.141	15	8
8700	103019	228232	10.006	11	26	85927	29281	3.498	9	3	122356	65553	5.593	14	7
8800	104281	231232	10.008	11	26	84711	29690	3.411	9	3	122611	72818	5.997	13	8
8900	105787	234232	10.108	11	26	91873	29611	3.617	10	3	120955	72377	5.752	13	8
9000	107030	237232	10.387	11	26	92058	30177	3.811	10	3	132668	79300	6.663	14	8
9100	108299	240232	10.653	11	26	88340	30546	3.585	9	3	127152	81329	5.633	13	8
9200	109640	243232	9.659	11	26	100821	30759	3.626	10	3	133330	73613	5.657	14	8
9300	111041	246232	9.782	11	26	95586	31421	3.469	10	3	133828	76991	5.769	14	8
9400	112314	249232	9.927	11	26	103936	31381	3.704	11	3	133811	74501	5.688	14	7
9500	113681	252232	10.032	11	26	95709	32234	3.503	10	3	133163	74181	5.673	14	7
9600	115023	255232	10.142	11	26	103393	32017	3.888	10	3	133067	84019	6.329	13	8
9700	116373	258232	10.975	11	26	102365	32897	3.954	10	3	138162	74227	6.204	14	7
9800	117693	261232	11.113	12	26	97101	33369	3.797	9	3	141687	81508	6.544	14	8
9900	119274	264232	11.204	12	26	92539	33816	3.704	9	3	141548	85725	6.625	14	8
10000	120440	267232	11.294	12	26	100407	34003	3.922	10	3	140658	86780	6.642	14	8
